# Vorschlagsliste: zu loeschende/zu pruefende Zutaten (supply.ingredient)
# Kriterien: (1) TK-Pizzen, (2) Pralinen, (3) selten/exotisch - kaum im Supermarkt erhaeltlich,
# (4) zu viele Geschmacksvarianten innerhalb einer Kategorie (Schokolade, Muesli, Joghurt, Frischkaese,
#     Wurst/Salami, Kaffee, Konfituere, Pesto, Fruchtgummi/Bonbon) - Grundsortiment reicht meist.
# Loesche Zeilen fuer Zutaten, die du BEHALTEN willst. Format: pk|name|grund

4802|Frischkäse Fruchtiges Curry|Zu viele Varianten in Kategorie "Frischkäse" - Grundsortiment reicht
4004|Frischkäse Gerösteter Knoblauch|Zu viele Varianten in Kategorie "Frischkäse" - Grundsortiment reicht
3079|Frischkäse Kräuter leicht|Zu viele Varianten in Kategorie "Frischkäse" - Grundsortiment reicht
3304|Frischkäse Mediterrane Kräuter|Zu viele Varianten in Kategorie "Frischkäse" - Grundsortiment reicht
3524|Frischkäse Pikante Kräuter leicht|Zu viele Varianten in Kategorie "Frischkäse" - Grundsortiment reicht
4099|Frischkäse Sahne laktosefrei|Zu viele Varianten in Kategorie "Frischkäse" - Grundsortiment reicht
5039|Frischkäse natur Doppelrahm|Zu viele Varianten in Kategorie "Frischkäse" - Grundsortiment reicht
3256|Honey Peppers mit Frischkäse|Zu viele Varianten in Kategorie "Frischkäse" - Grundsortiment reicht
3091|Veganer Frischkäse Gartenkräuter|Zu viele Varianten in Kategorie "Frischkäse" - Grundsortiment reicht
2950|Veganer Frischkäse Paprika|Zu viele Varianten in Kategorie "Frischkäse" - Grundsortiment reicht
4384|Veganer Frischkäse Paprika-Chili|Zu viele Varianten in Kategorie "Frischkäse" - Grundsortiment reicht
3554|Veganer Frischkäse mild|Zu viele Varianten in Kategorie "Frischkäse" - Grundsortiment reicht
4264|Bonbons Citrus Mix|Zu viele Varianten in Kategorie "Fruchtgummi/Bonbon" - Grundsortiment reicht
2987|Bonbons Fresh Mint|Zu viele Varianten in Kategorie "Fruchtgummi/Bonbon" - Grundsortiment reicht
5454|Bonbons Ingwer-Salbei zuckerfrei|Zu viele Varianten in Kategorie "Fruchtgummi/Bonbon" - Grundsortiment reicht
5651|Bonbons Waldfrucht zuckerfrei|Zu viele Varianten in Kategorie "Fruchtgummi/Bonbon" - Grundsortiment reicht
5590|Fruchtgummi & Lakritz Mix vegan|Zu viele Varianten in Kategorie "Fruchtgummi/Bonbon" - Grundsortiment reicht
5738|Fruchtgummi & Lakritz Vampire|Zu viele Varianten in Kategorie "Fruchtgummi/Bonbon" - Grundsortiment reicht
5742|Fruchtgummi Crazy Python|Zu viele Varianten in Kategorie "Fruchtgummi/Bonbon" - Grundsortiment reicht
5583|Fruchtgummi Dunkle Tüte|Zu viele Varianten in Kategorie "Fruchtgummi/Bonbon" - Grundsortiment reicht
5615|Fruchtgummi Feel Good Mix|Zu viele Varianten in Kategorie "Fruchtgummi/Bonbon" - Grundsortiment reicht
4460|Fruchtgummi Goldbären Minis|Zu viele Varianten in Kategorie "Fruchtgummi/Bonbon" - Grundsortiment reicht
5781|Fruchtgummi Happy Cherries|Zu viele Varianten in Kategorie "Fruchtgummi/Bonbon" - Grundsortiment reicht
5785|Fruchtgummi Happy Cola|Zu viele Varianten in Kategorie "Fruchtgummi/Bonbon" - Grundsortiment reicht
5658|Fruchtgummi Katzenpfötchen vegan|Zu viele Varianten in Kategorie "Fruchtgummi/Bonbon" - Grundsortiment reicht
5566|Fruchtgummi Kinder vegan|Zu viele Varianten in Kategorie "Fruchtgummi/Bonbon" - Grundsortiment reicht
5532|Fruchtgummi Mix vegan|Zu viele Varianten in Kategorie "Fruchtgummi/Bonbon" - Grundsortiment reicht
5539|Fruchtgummi Party-Mix vegan|Zu viele Varianten in Kategorie "Fruchtgummi/Bonbon" - Grundsortiment reicht
6649|Fruchtgummi Pasta Basta|Zu viele Varianten in Kategorie "Fruchtgummi/Bonbon" - Grundsortiment reicht
5637|Fruchtgummi Pasta sauer|Zu viele Varianten in Kategorie "Fruchtgummi/Bonbon" - Grundsortiment reicht
5198|Fruchtgummi Pfirsich vegan|Zu viele Varianten in Kategorie "Fruchtgummi/Bonbon" - Grundsortiment reicht
5626|Fruchtgummi Pop Mix vegan|Zu viele Varianten in Kategorie "Fruchtgummi/Bonbon" - Grundsortiment reicht
6267|Fruchtgummi Rainbow sauer vegan|Zu viele Varianten in Kategorie "Fruchtgummi/Bonbon" - Grundsortiment reicht
5604|Fruchtgummi Raupen sauer|Zu viele Varianten in Kategorie "Fruchtgummi/Bonbon" - Grundsortiment reicht
4869|Fruchtgummi Red Fruits sauer|Zu viele Varianten in Kategorie "Fruchtgummi/Bonbon" - Grundsortiment reicht
5690|Fruchtgummi Rote Früchte Softies|Zu viele Varianten in Kategorie "Fruchtgummi/Bonbon" - Grundsortiment reicht
5652|Fruchtgummi Salzige Heringe vegan|Zu viele Varianten in Kategorie "Fruchtgummi/Bonbon" - Grundsortiment reicht
5734|Fruchtgummi Sauer Brenner|Zu viele Varianten in Kategorie "Fruchtgummi/Bonbon" - Grundsortiment reicht
5774|Fruchtgummi Saure Apfelringe|Zu viele Varianten in Kategorie "Fruchtgummi/Bonbon" - Grundsortiment reicht
6322|Fruchtgummi Saure Gurken vegan|Zu viele Varianten in Kategorie "Fruchtgummi/Bonbon" - Grundsortiment reicht
5295|Fruchtgummi Saure Schnüre bunt|Zu viele Varianten in Kategorie "Fruchtgummi/Bonbon" - Grundsortiment reicht
5635|Fruchtgummi Saure Tüte|Zu viele Varianten in Kategorie "Fruchtgummi/Bonbon" - Grundsortiment reicht
3929|Fruchtgummi Smoothie Minis vegan|Zu viele Varianten in Kategorie "Fruchtgummi/Bonbon" - Grundsortiment reicht
5068|Fruchtgummi Softies sauer|Zu viele Varianten in Kategorie "Fruchtgummi/Bonbon" - Grundsortiment reicht
5788|Fruchtgummi Spaghetti Himbeer-Brombeer vegan|Zu viele Varianten in Kategorie "Fruchtgummi/Bonbon" - Grundsortiment reicht
5798|Fruchtgummi Super Gurken|Zu viele Varianten in Kategorie "Fruchtgummi/Bonbon" - Grundsortiment reicht
5565|Fruchtgummi Super Mario|Zu viele Varianten in Kategorie "Fruchtgummi/Bonbon" - Grundsortiment reicht
5768|Fruchtgummi Süße Mäuse|Zu viele Varianten in Kategorie "Fruchtgummi/Bonbon" - Grundsortiment reicht
5647|Fruchtgummi Vampire sauer|Zu viele Varianten in Kategorie "Fruchtgummi/Bonbon" - Grundsortiment reicht
3480|Fruchtgummi Wine Gums|Zu viele Varianten in Kategorie "Fruchtgummi/Bonbon" - Grundsortiment reicht
6071|Fruchtgummi Wolke Sieben|Zu viele Varianten in Kategorie "Fruchtgummi/Bonbon" - Grundsortiment reicht
6000|Fruchtgummi Wunderland Black|Zu viele Varianten in Kategorie "Fruchtgummi/Bonbon" - Grundsortiment reicht
5670|Fruchtgummi Wunderland sauer vegan|Zu viele Varianten in Kategorie "Fruchtgummi/Bonbon" - Grundsortiment reicht
6083|Fruchtgummi Wunderland weiß|Zu viele Varianten in Kategorie "Fruchtgummi/Bonbon" - Grundsortiment reicht
5272|Fruchtgummi sauer Sticks vegan|Zu viele Varianten in Kategorie "Fruchtgummi/Bonbon" - Grundsortiment reicht
6066|Halsbonbons Eukalyptus zuckerfrei|Zu viele Varianten in Kategorie "Fruchtgummi/Bonbon" - Grundsortiment reicht
4429|Halsbonbons Extra Stark zuckerfrei|Zu viele Varianten in Kategorie "Fruchtgummi/Bonbon" - Grundsortiment reicht
6078|Halsbonbons Mint Extra Stark|Zu viele Varianten in Kategorie "Fruchtgummi/Bonbon" - Grundsortiment reicht
6064|Halsbonbons Spearmint zuckerfrei|Zu viele Varianten in Kategorie "Fruchtgummi/Bonbon" - Grundsortiment reicht
4449|Hustenbonbons Apfelminze zuckerfrei|Zu viele Varianten in Kategorie "Fruchtgummi/Bonbon" - Grundsortiment reicht
4406|Hustenbonbons Cranberry zuckerfrei|Zu viele Varianten in Kategorie "Fruchtgummi/Bonbon" - Grundsortiment reicht
4485|Hustenbonbons Eukalyptus-Kirsche zuckerfrei|Zu viele Varianten in Kategorie "Fruchtgummi/Bonbon" - Grundsortiment reicht
4747|Hustenbonbons Ingwer-Orangenminze zuckerfrei|Zu viele Varianten in Kategorie "Fruchtgummi/Bonbon" - Grundsortiment reicht
2928|Hustenbonbons Kirsche Kinder|Zu viele Varianten in Kategorie "Fruchtgummi/Bonbon" - Grundsortiment reicht
4751|Hustenbonbons Kräuter Original zuckerfrei|Zu viele Varianten in Kategorie "Fruchtgummi/Bonbon" - Grundsortiment reicht
4478|Hustenbonbons Lakritz zuckerfrei|Zu viele Varianten in Kategorie "Fruchtgummi/Bonbon" - Grundsortiment reicht
4176|Hustenbonbons Salbei zuckerfrei|Zu viele Varianten in Kategorie "Fruchtgummi/Bonbon" - Grundsortiment reicht
4365|Hustenbonbons Wildkirsche Kinder zuckerfrei|Zu viele Varianten in Kategorie "Fruchtgummi/Bonbon" - Grundsortiment reicht
4089|Hustenbonbons Wildkirsche zuckerfrei|Zu viele Varianten in Kategorie "Fruchtgummi/Bonbon" - Grundsortiment reicht
4140|Hustenbonbons Zitrone zuckerfrei|Zu viele Varianten in Kategorie "Fruchtgummi/Bonbon" - Grundsortiment reicht
6410|Kaubonbons Blaubeere vegan|Zu viele Varianten in Kategorie "Fruchtgummi/Bonbon" - Grundsortiment reicht
3811|Kaubonbons mit Brause|Zu viele Varianten in Kategorie "Fruchtgummi/Bonbon" - Grundsortiment reicht
3740|Brotaufstrich Joghurt Tomate-Basilikum|Zu viele Varianten in Kategorie "Joghurt" - Grundsortiment reicht
6178|Frischkäse Joghurt & Kräuter|Zu viele Varianten in Kategorie "Joghurt" - Grundsortiment reicht
6155|Frischkäse mit Joghurt|Zu viele Varianten in Kategorie "Joghurt" - Grundsortiment reicht
2386|Fruchtjoghurt 4 Früchte|Zu viele Varianten in Kategorie "Joghurt" - Grundsortiment reicht
6438|Fruchtjoghurt Erdbeere 0,1%|Zu viele Varianten in Kategorie "Joghurt" - Grundsortiment reicht
6481|Fruchtjoghurt Erdbeere Bio|Zu viele Varianten in Kategorie "Joghurt" - Grundsortiment reicht
6280|Fruchtjoghurt Erdbeere Panna Cotta|Zu viele Varianten in Kategorie "Joghurt" - Grundsortiment reicht
6316|Fruchtjoghurt Heidelbeere weniger Zucker|Zu viele Varianten in Kategorie "Joghurt" - Grundsortiment reicht
6229|Fruchtjoghurt Himbeere Knusper Bio|Zu viele Varianten in Kategorie "Joghurt" - Grundsortiment reicht
6441|Fruchtjoghurt Kirsche 0,1%|Zu viele Varianten in Kategorie "Joghurt" - Grundsortiment reicht
2496|Fruchtjoghurt Stracciatella Bio|Zu viele Varianten in Kategorie "Joghurt" - Grundsortiment reicht
6264|Fruchtjoghurt Stracciatella laktosefrei|Zu viele Varianten in Kategorie "Joghurt" - Grundsortiment reicht
4850|Fruchtjoghurt Vollkorn Erdbeere|Zu viele Varianten in Kategorie "Joghurt" - Grundsortiment reicht
7047|Griechischer Joghurt fettfrei|Zu viele Varianten in Kategorie "Joghurt" - Grundsortiment reicht
6938|Griechischer Joghurt light|Zu viele Varianten in Kategorie "Joghurt" - Grundsortiment reicht
5510|Griechischer Schafmilchjoghurt natur|Zu viele Varianten in Kategorie "Joghurt" - Grundsortiment reicht
5054|Haferjoghurt Erdbeere vegan|Zu viele Varianten in Kategorie "Joghurt" - Grundsortiment reicht
4924|Haferjoghurt Heidelbeere vegan|Zu viele Varianten in Kategorie "Joghurt" - Grundsortiment reicht
4486|Haferjoghurt Himbeer-Cheesecake vegan|Zu viele Varianten in Kategorie "Joghurt" - Grundsortiment reicht
5391|Haferjoghurt Skyr-Art natur vegan|Zu viele Varianten in Kategorie "Joghurt" - Grundsortiment reicht
4861|Haferjoghurt natur vegan|Zu viele Varianten in Kategorie "Joghurt" - Grundsortiment reicht
6992|Joghurt 0,1 %|Zu viele Varianten in Kategorie "Joghurt" - Grundsortiment reicht
6923|Joghurt 0,1 % Fett|Zu viele Varianten in Kategorie "Joghurt" - Grundsortiment reicht
4263|Joghurt Himbeer-Holunder Bio|Zu viele Varianten in Kategorie "Joghurt" - Grundsortiment reicht
5264|Joghurt Mango-Vanille Bio|Zu viele Varianten in Kategorie "Joghurt" - Grundsortiment reicht
6419|Joghurt bulgarisch natur|Zu viele Varianten in Kategorie "Joghurt" - Grundsortiment reicht
5659|Joghurt bulgarische Art 3,5%|Zu viele Varianten in Kategorie "Joghurt" - Grundsortiment reicht
3567|Joghurt griechische Art Blutorange|Zu viele Varianten in Kategorie "Joghurt" - Grundsortiment reicht
3780|Joghurt griechische Art Heidelbeere|Zu viele Varianten in Kategorie "Joghurt" - Grundsortiment reicht
6172|Joghurt mild 0,1%|Zu viele Varianten in Kategorie "Joghurt" - Grundsortiment reicht
6069|Joghurt mild 3,5%|Zu viele Varianten in Kategorie "Joghurt" - Grundsortiment reicht
4124|Joghurt mild 3,8%|Zu viele Varianten in Kategorie "Joghurt" - Grundsortiment reicht
6447|Joghurt mild fettarm Pfirsich-Mango|Zu viele Varianten in Kategorie "Joghurt" - Grundsortiment reicht
4293|Joghurt mit Dinkelkeksen|Zu viele Varianten in Kategorie "Joghurt" - Grundsortiment reicht
6622|Joghurt mit Ecke Schoko-Cringels|Zu viele Varianten in Kategorie "Joghurt" - Grundsortiment reicht
4944|Joghurt natur 1,5%|Zu viele Varianten in Kategorie "Joghurt" - Grundsortiment reicht
5326|Joghurt natur 3,8%|Zu viele Varianten in Kategorie "Joghurt" - Grundsortiment reicht
4844|Joghurt natur Bio|Zu viele Varianten in Kategorie "Joghurt" - Grundsortiment reicht
4878|Joghurt natur Bio Demeter|Zu viele Varianten in Kategorie "Joghurt" - Grundsortiment reicht
6118|Joghurt-Drink Himbeere 0,1%|Zu viele Varianten in Kategorie "Joghurt" - Grundsortiment reicht
6361|Joghurtalternative Pfirsich-Maracuja vegan|Zu viele Varianten in Kategorie "Joghurt" - Grundsortiment reicht
3910|Joghurtalternative pflanzlich Hafer|Zu viele Varianten in Kategorie "Joghurt" - Grundsortiment reicht
4663|Kinderjoghurt Banane Bio|Zu viele Varianten in Kategorie "Joghurt" - Grundsortiment reicht
4677|Kinderjoghurt Erdbeere Bio|Zu viele Varianten in Kategorie "Joghurt" - Grundsortiment reicht
5676|Kokosjoghurt Mango-Vanille vegan|Zu viele Varianten in Kategorie "Joghurt" - Grundsortiment reicht
5158|Kokosjoghurt Vanille vegan|Zu viele Varianten in Kategorie "Joghurt" - Grundsortiment reicht
6499|Naturjoghurt 3,8%|Zu viele Varianten in Kategorie "Joghurt" - Grundsortiment reicht
6394|Sahnejoghurt Himbeer-Panna Cotta|Zu viele Varianten in Kategorie "Joghurt" - Grundsortiment reicht
3695|Sahnejoghurt griechische Art 10%|Zu viele Varianten in Kategorie "Joghurt" - Grundsortiment reicht
7020|Salatcreme mit Joghurt|Zu viele Varianten in Kategorie "Joghurt" - Grundsortiment reicht
4895|Sojajoghurt Heidelbeere vegan|Zu viele Varianten in Kategorie "Joghurt" - Grundsortiment reicht
3969|Sojajoghurt Kirsche ohne Zucker|Zu viele Varianten in Kategorie "Joghurt" - Grundsortiment reicht
3687|Sojajoghurt natur ohne Zucker Bio|Zu viele Varianten in Kategorie "Joghurt" - Grundsortiment reicht
6241|Trinkjoghurt Erdbeere Bio fettarm|Zu viele Varianten in Kategorie "Joghurt" - Grundsortiment reicht
4065|Trinkjoghurt pflanzlich natur|Zu viele Varianten in Kategorie "Joghurt" - Grundsortiment reicht
4395|Instantkaffee 3in1 Milka|Zu viele Varianten in Kategorie "Kaffee" - Grundsortiment reicht
521|Kaffee gemahlen Arabica|Zu viele Varianten in Kategorie "Kaffee" - Grundsortiment reicht
456|Kaffee gemahlen Bio|Zu viele Varianten in Kategorie "Kaffee" - Grundsortiment reicht
803|Kaffee gemahlen kräftig|Zu viele Varianten in Kategorie "Kaffee" - Grundsortiment reicht
999|Kaffeekapseln Café au Lait|Zu viele Varianten in Kategorie "Kaffee" - Grundsortiment reicht
540|Kaffeekapseln Latte Macchiato|Zu viele Varianten in Kategorie "Kaffee" - Grundsortiment reicht
6318|Kaffeemilch leicht 4%|Zu viele Varianten in Kategorie "Kaffee" - Grundsortiment reicht
3836|Aprikosenkonfitüre weniger Zucker|Zu viele Varianten in Kategorie "Konfitüre/Fruchtaufstrich" - Grundsortiment reicht
3992|Erdbeerkonfitüre weniger Zucker|Zu viele Varianten in Kategorie "Konfitüre/Fruchtaufstrich" - Grundsortiment reicht
2985|Erdbeermarmelade wenig Zucker|Zu viele Varianten in Kategorie "Konfitüre/Fruchtaufstrich" - Grundsortiment reicht
2098|Fruchtaufstrich Aprikose 75%|Zu viele Varianten in Kategorie "Konfitüre/Fruchtaufstrich" - Grundsortiment reicht
4661|Fruchtaufstrich Erdbeere (Agavendicksaft)|Zu viele Varianten in Kategorie "Konfitüre/Fruchtaufstrich" - Grundsortiment reicht
3410|Fruchtaufstrich Erdbeere 75%|Zu viele Varianten in Kategorie "Konfitüre/Fruchtaufstrich" - Grundsortiment reicht
4430|Fruchtaufstrich Erdbeere Bio|Zu viele Varianten in Kategorie "Konfitüre/Fruchtaufstrich" - Grundsortiment reicht
2114|Fruchtaufstrich Erdbeere natur|Zu viele Varianten in Kategorie "Konfitüre/Fruchtaufstrich" - Grundsortiment reicht
918|Fruchtaufstrich Erdbeere zuckerarm|Zu viele Varianten in Kategorie "Konfitüre/Fruchtaufstrich" - Grundsortiment reicht
3671|Fruchtaufstrich Himbeere 70%|Zu viele Varianten in Kategorie "Konfitüre/Fruchtaufstrich" - Grundsortiment reicht
4001|Fruchtaufstrich Himbeere Bio|Zu viele Varianten in Kategorie "Konfitüre/Fruchtaufstrich" - Grundsortiment reicht
3692|Fruchtaufstrich Himbeere Zero|Zu viele Varianten in Kategorie "Konfitüre/Fruchtaufstrich" - Grundsortiment reicht
