# Zu löschende Zutaten (Vorschlag der AI)
# Lösche Zeilen für Zutaten, die du BEHALTEN willst
# Format: pk|name|description

443|Erdbeer-Käsekuchen (TK)|Conditorei Coppenrath und Wiese Kuchen Liebe Erdbeer Cheescake 900g - Conditorei Coppenrath & Wiese - Tarta de queso con fresas - TK-TORTEN/KUCHEN
880|Porchetta|Rewe Feine Welt Porchetta 90g - REWE Feine Welt - Porchetta Italiana - KOCHSCHINKEN - PP
740|Lachsrückenfilet|REWE Feine Welt Kaltgeräuchertes Lachsrückenfilet 125g - REWE Feine Welt - Lachsrückenfilet - RAEUCHERFISCH - SB -
5350|Snack-Sticks Currywurst|xox Pommes Snack Currywurst 125g - XOX - Pommes Currywurst - EXTRUDER
7203|Rote-Bete-Pulver|
948|Gyoza Kimchi (TK)|GYOZA KIMCHI MANDU - ALLGROO - Kimchi gyoza mandu - TK-FERTIGGERICHTE SCHALEN
955|Jackfruit-Bällchen vegan|Lotao Bio Jackfruit Veggie Balls vegan 150g - Lotao - Jackfruit Veggie Balls - Soja/Tofu/Seitan
1601|Poppadums|Truly Indian Poppadums Madras 112g - TRULY INDIAN - Madras Plain Poppadums - SPEZIALITAETEN/EXOTEN
976|Trinkjoghurt Johannisbeere-Cranberry|Danone Actimel Johannisbeere & Cranberry 8x100g - Danone - Danone Actimel® Johannisbeere & Cranberry, Cranberry cool 8 x 100g = 800g - TRINKJOGHURT EIN- U. MEHRWEG
971|Proteinmüsli Bio|Biozentrale Bio Müsli Protein Pur 375g - Biozentrale - Protein Müsli - BIO MÜSLI / MÜSLIRIEGEL
977|Schokomandeln Vanille|Vanielle Schoko Mandeln 100g - Hammermühle GmbH - Vanille Mandeln - GLUTENFREIE ARTIKEL SAISON
1145|Reis-Wildlachs-Pfanne (TK)|REWE Beste Wahl Reis-Wildlachs-Pfanne 750g - REWE Beste Wahl - Reis-Wildlachs Pfanne - TK-FERTIGGERICHTE BEUTEL
1205|Low-Carb-Brot|Panifactum Bio Low Carb Brot fein 160g - Panifactum - Low Carb Brot - Das Feine - REDUKTIONSKOST
1003|Pizza vegan (TK)|Veganz Pizza Spinaci vegan 360g - Veganz - Veganne pizza - TK-PIZZA 1ER/FLAMMKUCHEN/QUICHE
1489|Pizza Käsequartett Steinofen (TK)|Wagner Steinofen Pizza Käse Quartett 350g - WAGNER - Steinofen-Pizza Käsequartett - TK-PIZZA 1ER/FLAMMKUCHEN/QUICHE
1512|Grüne Bohnen mit Speck (TK)|Iglo Gemüse Ideen Grüne Bohnen mit Speck 480g - IGLO - Gemüse-Ideen Grüne Bohnen mit Speck - TK-GEMUESEMISCHUNGEN
1663|Quinoa-Burger vegan|Lotus Bio Mini-Burger Quinoa 165g - Lotus Naturkost - Burger quinoa - VEGANE ARTIKEL GEKÜHLT - SB
1011|Ente (TK)|Wichmann Gourmet-Ente 320g - Wichmann´s Gourmet Ente 320 gr - Gourmet Ente - TK-ENTENTEILE/CONVENIENCE
2853|Wintermandeln Zimt Bio vegan|Veganz Bio Zimt Wintermandeln Weihnachten vegan 50g - Veganz - Zimt Wintermandeln - WEIHN.-SPEZIALITÄTEN
2854|Mezzelune Pilz|REWE Feine Welt Mezzelune Shiitake/Champignong 250g - REWE Feine Welt - Pilz Variation Mezzelune - FRISCHNUDELN - SB -
1034|Pizza Mozzarella glutenfrei (TK)|Dr. Oetker Ristorante Mozzarella Glutenfrei 370g - Dr. Oetker - Ristorante Pizza Mozzarella Glutenfrei - TK-PIZZA 1ER/FLAMMKUCHEN/QUICHE
1038|Rauchmandeln|Ueltje Rauchmandeln 150g - Ültje - Rauchmandeln - ERDNÜSSE, SONST. KERNE
1053|Schweinebraten Arista|Feine Welt Arista - REWE Feine Welt - Arista - KOCHSCHINKEN - PP
1055|Schokolade Nuss|Milka Nussini 270g - MILKA - Mmmax Nussini - SCHOKOLADE UEBER 100 G
314|Säuglingsmilch Pre|Beba Optipro 2  800g - NESTLE - Beba Optipro 2 - BABY NAEHRM./MILCH/PULVER/E-MWST
315|Tête de Moine|Tête de Moine Fromage 400g - Tête de Moine - Tête de moine - PRE PACK SCHNITTKAESE BED
311|Whey Protein Vanille|Foodspring Whey Protein Vanille 330g - foodspring - Whey Protein Vanille-Geschmack - PROTEIN PULVER E-MWST
3585|Frischkäse-Pralinen|Petri - Pico-Frischkäse Pralinen 100g - Petrella - Pico Pralinen - FRISCHKAESE - SB -
1088|Hähnchen-Mini-Schnitzel (TK)|ja! Hähnchen Mini Schnitzel 500g - Ja! - Mini Hähnchenschnitzel - TK-HAEHNCHENTEILE/CONVENIENCE
333|Adventskalender Schokolade|Toblerone Adventskalender 200g - TOBLERONE - Toblerone Adventskalender - ADVENTSKALENDER
329|Kaffeebohnen Crema Dolce|Lavazza Caffè Crema Dolce 1kg - LAVAZZA - Caffé Crema Dolce - CAFE CREMA GANZE BOHNE
330|Lachswürfel (TK)|Costa Lachswürfel 500g - Costa - Lachswürfel - TK-NATURFISCH/MARINIERTER FISCH
1095|Pralinen Stracciatella|Ferrero Küsschen Sommer Ku?sschen à la Stracciatella 182g - FERRERO KUESSCHEN - Sommer Küsschen a la Stracciatella - MONOPRALINEN
1100|Süße Ravioli Schokolade|Giovanni Rana Süße Ravioli mit Schokolade 250g - Giovanni RANA - Süße Ravioli mit Schokolade - FRISCHNUDELN - SB -
1099|Schokoladenmischung Kokos|COCONUT COLLECTION - MERCI - Coconut Collection - PRALINENAEHNLICHE PRODUKTE
338|Whey Protein Bio|BIO WHEY - NADURIA - Protein. Whey ungesüßt - Protein Pulver E-MwSt
6147|Bonbons Kirsche-Menthol zuckerfrei|Tic tac X-Fresh Cherry Menthol zuckerfrei 16,4g - TIC TAC CHILL/TIC TAC BREEZE - Tic Tac X-Fresh Cherry Menthol - KRAEUTER-/HUSTENBONBONS (FRUCH
1118|Pralinen Cheesecake|Ferrero Sommer Küsschen à la Cheesecake 180g - FERRERO KUESSCHEN - Sommerküsschen Cheesecake - MONOPRALINEN
2775|Vegane Bresaola-Art Bio|Greenforce Bio Bresaola Art vegan 70g - GREENFORCE - vegane BRESAOLA-art - VEGANE ARTIKEL GEKÜHLT - SB
1173|Knuspermüsli Bio|Davert Happy Crunch Zebra 375g - Davert - Happy crunch black & white chocolate - BIO MÜSLI / MÜSLIRIEGEL
750|Fischfilet Sauerteig (TK)|Iglo Filegro Sauerteig 250 - IGLO - Filegro Sauerteig Panade - TK-FISCH FERTIGGERICHTE
1183|Dunkle Schokolade 100%|Lindt Excellence Cacao Pur 80g - LINDT - Excellence Cacao Pur - SCHOKOLADE BIS 100 G
2890|Bruschetta Piccante|Rewe Feine Welt Feuer Italiens Bruschetta 190g - REWE Feine Welt - Bruschetta Piccante - BRUSCHETTA/HERZHAFTE BROTAUFSTR.
1202|Veganer Käse Rotschimmel|Rotbert - BEDDA - Rot Bert - veganer Käseersatz gekühlt SB
1209|Eis am Stiel|Ferrero Raffaello Ice Cream 188g - RAFFAELLO ICE CREAM STICK - Raffaello - MULTIPACKUNGEN EIS
1229|Schokoladenchips Stracciatella|Nestlé Choclait Chips Stracciatella 115g - NESTLE - Choclait Chips Stracciatella - PRALINENAEHNLICHE PRODUKTE
817|Bolognese-Sauce Käse|Barilla Bolognese C.Formaggi - Barilla - Bolognese Formaggi Italiani - TOMATEN-U.NUDELFERTIGSAUCEN
1234|Pizza Salami Piccante (TK)|Dr. Oetker La Mia Grande Salame Piccante 380g - Dr. Oetker - Pizza Mia Grande Salame Piccante - TK-PIZZA GROSS
1242|Pizza Diavolo (TK)|Dr. Oetker Ristorante Pizza Diavolo 350g - Dr. Oetker - Ristorante Pizza Diavola - TK-PIZZA 1ER/FLAMMKUCHEN/QUICHE
1235|Kaubonbons|MAOAM Kaubonbon Kracher USA Edition 600g - Maoam -  - KAUBONBONS
1251|Pizza Tokyo Style (TK)|Original Wagner Big City Pizza Tokyo 445g - WAGNER - Big Pizza Tokyo 7613035492776 Pizza mit Thunfisch, Zwiebeln und Mozzarella - TK-PIZZA 1ER/FLAMMKUCHEN/QUICHE
78|Hähnchenschenkel|
697|Pfefferkäse|Alta Badia 150g - Unbranded - Pfeffer Pfefferkäse - PRE PACK SCHNITTKAESE BED
1252|Pizza Miami Style (TK)|Original Wagner Big City Pizza Miami 410g - WAGNER - Big City Pizza - Miami - TK-PIZZA 1ER/FLAMMKUCHEN/QUICHE
1257|Mini-Grillwürstchen Hähnchen|Grillido Mini-Grillies Hähnchen Spinat Hirtenkäse 200g - Grillido - Mini Grillies Hähnchen - BRATWURST KÜHLBEDÜRFTIG SB
1026|Miso-Paste|Baihu Food White Tiger Miso 147g - None - White tiger miso - FERTIGGERICHTE INSTANT
1261|Taco Shells|Fuego 12 Taco Shells 135g - Fuego - Taco Shells - SPEZIALITAETEN/EXOTEN
1271|Pizza Salami vegan (TK)|Dr. Oetker Ristorante Pizza al Salame Vegano vegan 295g - Dr. Oetker - Ristorante Pizza Al Salame Vegano - TK-PIZZA 1ER/FLAMMKUCHEN/QUICHE
923|Gelbe Currypaste|Baihu Yellow Monkey Curry 152g - None - Yellow monkey curry - FERTIGGERICHTE INSTANT
1295|Pizza Diavola Calabrese (TK)|Dr. Oetker Pizza Tradizionale Diavola Calabrese 345g - Dr. Oetker - Steinofen Pizza, Tradizionale Diavola Calabrese - TK-PIZZA 1ER/FLAMMKUCHEN/QUICHE
1301|Tiefkühlbeeren|<Sorte> - SOTO - Bio Heidelbeeren, tiefgefroren - TK-FRUECHTE/-BEEREN/-SAEFTE
1179|Kaffeekapseln Cappuccino|Nescafé Dolce Gusto Cappuccino 186g, 16 Kapseln - DOLCE GUSTO - Cappuccino - KAPSEL DOLCE GUSTO
5735|Fix Jäger-Sahne-Schnitzel|Maggi Fix Jäger-Sahne Schnitzel 27g - MAGGI - Maggi Jäger-Sahne Schnitzel - FIXE PULVER / TROCKEN
1309|Pizza Vegetaria (TK)|Original Wagner Die Backfrische Vegetaria 375g - WAGNER - Die Backfrische - Vegetaria - TK-PIZZA 1ER/FLAMMKUCHEN/QUICHE
1340|Zwiebeln granuliert|Ostmann Zwiebel granuliert 70g - Ostmann - Zwiebeln granuliert - GEWÜRZE MONO BEUTEL/NACHFÜLLER
678|Pizza 7 Käse (TK)|Gustavo Gusto Pizza Say Cheese 420g - Gustavo Gusto - Bianca Sette Formaggi - TK-PIZZA GROSS
1385|Pizza Salami-Mozzarella-Pesto (TK)|Dr. Oetker Ristorante Salame Mozzarella Pesto 360g - Dr. Oetker - Ristorante Pizza Salame Mozzarella Pesto - TK-PIZZA 1ER/FLAMMKUCHEN/QUICHE
1441|Gemüse-Bowl Blumenkohl-Brokkoli (TK)|Frosta Gemüse Bowl Milder Blumenkohlreis vegan 480g - FROSTA - Gemüse Bowl milder Blumenkohlreis mit Brokkoli & Edamame - TK-FERTIGGERICHTE SCHALEN
1486|Piada Teigfladen|PIADA PIZZA - LORIANA - Piada pizza - Wraps/Tortillas Aufbackwaren SB
1509|Gemüsepfanne Kürbis-Süßkartoffel (TK)|Iglo Gemüse Ideen Kürbis & Süßkartoffeln 480g - IGLO - Gemüse-Ideen Kürbis & Süßkartoffeln in Limetten-Butter - TK-GEMUESEMISCHUNGEN
1531|Veganer Schmelzkäse|Bedda Scheiben zum Schmelzen vegan 180g - bedda - Zum Schmelzen - VEGANE ARTIKEL GEKÜHLT - SB
1533|Bratkartoffelpfanne (TK)|BRATKARTOFFEL GEM. PF. - FROSTA - Bratkartoffel Gemüse Pfanne - TK-FERTIGGERICHTE BEUTEL
1538|Veganes Hack (TK)|Iglo Green Cuisine Vegetarisches Hack 230g - IGLO - Green Cuisine Vegetarisches Hack - TK-SNACKS
1539|Nudeln mit Fleischklößchen (Dose)|Erasco Spirli-Nudeln mit Fleischklößchen 800g - Erasco - Spirili Nudeln mit Fleischklößchen - FERTIGGERICHTE NASS DOSE
1544|Kaffeekapseln Haselnuss|Café Royal Hazelnut 50g, 10 Kapseln - Café Royal - hazelnoot - KAPSEL NESPRESSO KOMP.
1611|Pilz-Bratling Bio|Bio Fungi Pad - HERMANN - Fungi Pad - vegetar.Produkte Sonstige gek.SB
4481|Räucherlachssalat|Homann Räucherlachssalat 135g - HOMANN - Räucherlachssalat à la Sauce Tartare - FERTIGSALATE (+DESSERT) - SB -
4507|Farmersalat|Popp Farmersalat 200g - Popp - Farmersalat - FERTIGSALATE (+DESSERT) - SB -
4514|Stracciatella-Quark|Weihenstephan Stracciatella-Quark 500g - WEIHENSTEPHAN - Quark Stracciatella - FRUCHTQUARK
1722|Hartkäse Trüffel|GRAN AL TARTUFO - REWE Feine Welt - Gran al Tartufo - PRE PACK HARTKAESE BED
1724|Sushi-Box|ja! Sushi Box Mizu ASC 195g - Ja! - Sushi Box Mizu - SOFORTV. SUSHI-SB
381|Garnelen (TK)|Costa Pacific Prawns 215g - Costa - Pacific Prawns - Original - TK-MEERESFRUECHTE
1748|Brattaler Knusperkruste|Leerdammer Brattaler Knusperkruste 160g - LEERDAMMER - Brat und Backtaler - KÄSE FÜR WARME VERWENDUNG
1758|Hüttenkäse|Gervais Hüttenkäse Original Vorteilspack 400g - Gervais - Hüttenkäse - FRISCHKAESE - SB -
3535|Veganer Feinkostsalat Geflügel-Art|Rügenwalder Mühle Feinkostsalat Typ Geflügel vegan 150g - Veganer Schinken Spicker Salat - Feinkostsalat Typ Geflügel vegan - VEGANE ARTIKEL GEKÜHLT - SB
1759|Chai Latte Spekulatius|Krüger Chai Latte Spekualtius 250g - Krüger - Chai Latte Spekulatius - INSTANT-TEE
1822|Asia-Gemüse|Bamboo Garden Bio Asia Gemüse 330g - Bamboo Garden - Bio Asia Gemüse - ANTIPASTI / GEMÜSE FEINKOST
391|Cashewkerne|Maryland  Cashewkerne 500g - Maryland - Cashewkerne - KERNE/NÜSSE (IND. VERP.)
1828|Schlemmerfilet Italiano (TK)|Iglo Schlemmer-Filet Italiano 380g - IGLO - Schlemmerfilet Italiano - TK-FISCH FERTIGGERICHTE
1831|Sandwichbrot glutenfrei|REWE frei von Sandwich glutenfrei 300g - REWE frei von - Sandwich Glutenfrei - Brot-u.Backw.gluten-/laktosefrei
1841|Gemüsebrühe ohne Zucker|*ALT*GEMUE.BRUEH O. ZU - JUST SPICES - Gemüsebrühe - GEWÜRZE MISCHUNG STREUER
1842|Schokolade Strawberry Cheesecake|Lindt Sweet You Strawberry Cheesecake 100g - LINDT - Hello my name is Strawberry Cheesecake - SCHOKOLADE BIS 100 G
408|Schoko-Kirsch-Pralinen|Ferrero Mon Chérie Osterei 283g - None - Mon Chérie Osterei - OSTERARTIKEL MIT ALKOHOL
1867|Ćevapčići Spanferkel|Beck Spanferkel Cevapcici 300g - Dummymarke Ultrafrische Wurst - Spanferkel-Cevapcici - SPANFERKEL SB
393|Marzipanpralinen|Niederegger Marzipan Klassiker 300g - Niederegger - Marzipan Pralinen mit Zarzbitter-Schokolade - MONOPRALINEN
1945|Lachsstäbchen (TK)|Iglo Lachs-Stäbchen 224g, 8 Stück - IGLO - 8 Lachs-Stäbchen - TK-FISCHSTAEBCHEN
6613|Rahmjoghurt Marille|Weihenstephan Rahmjoghurt Marille 150g - WEIHENSTEPHAN - Rahmjoghurt - Marille - FRUCHTJOGHURT EINWEG
430|Burger Patties|Fleischgenießer Handcraft Burger 2x180g - fleischgeniesser.de - Burger - TK-FLEISCH-CONVENIENCE
431|Mochi-Eis Kokosnuss|Mochi Eis Kokosnuss 192g - LITTLE MOONS - Mochis Glacés, Kokosnuss - EIS-HAUSHALTSPACKUNGEN BIS 500ML
1985|Ketchup scharf|HOELLENFEUER KETCHUP - FELIX - Ketchup Höllenfeuer - KETCHUP
1988|Erdnüsse umhüllt|Lorenz NicNac's XL Fun Original 200g - NicNac's - NicNacs - ERDNÜSSE, SONST. KERNE
450|Époisses|EPOISSES GERMAIN AOP - PP GERMAIN - Germain Epoisse - PRE PACK WEICHKAESE BED
454|Cashewmus Banana Bread|KoRo Cashewmus Banana Bread vegan 290g - KORO - Chashewmus Banana Bread - HERZHAFTE VEGETARI. AUFSTRICHE
457|Lachsforellenfilet|Deutsche See Lachs-Forellen-Filet 200g - Deutsche See - Lachsforellenfilet mit Haut - PRE PACK FRISCHFISCH
2017|Vegane Tenders (TK)|Beyond Tenders Chicken-Style vegan 200g - Beyond Meat - Beyond Tenders - TK-SNACKS
2021|Vegane Ćevapčići|CEVAPCICI MIX VEGAN - GREENFORCE - Cevapcici - Soja/Tofu/Seitan
4068|Manzanilla-Oliven mit Paprika|REWE Beste Wahl Grüne Oliven gefüllt mit Paprika 130g - REWE Beste Wahl - Manzanilla Oliven - ANTIPASTI GEK. SB
480|Jamón Ibérico|REWE Feine Welt Jamon Iberico 70g - REWE Feine Welt - Jamon iberico - ROHER SCHINKEN - PP
2026|Veganer Käse Block|Bedda Block Classic vegan 200g - bedda - Block classic - VEGANE ARTIKEL GEKÜHLT - SB
2027|Fischfilet Müllerin (TK)|Iglo Filegro Müllerin Art 250g - IGLO - Filegro Müllerin Art - TK-FISCH FERTIGGERICHTE
2064|Schweineschnitzel|ja! Schweineschnitzel 2 Stück 300g - Ja! - Schweine Schnitzel - FLEISCH CONVENIENCE -SB-KUEHLB.
483|Eis Joghurt Amarena|ICE BAR YOGURT AMARENA - FROZEN POWER - Frozen Power Yogurt Amarena - MULTIPACKUNGEN EIS
2109|Jasminreis Thai Bio|Davita Bio Jasmin-Thai-Reis 500g - Davita - Bio Jasmin Thai Reis - BIO REIS- UND HÜLSENFRÜCHTE
2149|Garnelen Thai-Curry (Fertiggericht)|GEBR. GARN. THAICURRY - SCHUHBECK'S - Gebratene Garnelen - KOMPLETTMENÜ ASIATISCH GEK.-SB
2191|Gnocchi Süßkartoffel|Bürger Gnocchi Süßkartoffel 500g - Bürger - Gnocchi Süßkartoffel - KARTOFFELSPEZIALITÄT GEKÜHLT-SB
509|Veganer Burger|BURGER VEGAN - VANTASTIC - Vantastic Burger - TK-SNACKS
4146|Makkaroni-Auflauf (TK)|ja! Makkaroni Auflauf 400g - Ja! - Makkaroni Auflauf - TK-FERTIGGERICHTE SCHALEN
2196|Pizzateig glutenfrei Bio|Bauck Bio Pizza Teig glutenfrei 350g - Bauckhof - PizzaTeig Glutenfrei - BIO BACKMISCHUNG
2197|Fischstäbchen MSC (TK)|Frosta Fischstäbchen MSC 450g, 15 Stück - FRoSTA - 15 Fischstäbchen - TK-FISCHSTAEBCHEN
2217|Kartoffeltaler|Rinatura Patty Potatoe   150g - RINATURA - Potato Patty - BIO INSTANT / FERTIGGERICHTE
2219|Fassbutter|Gläserne Molkerei Fass Butter Natur Bio 250g - Gläserne Molkerei GmbH - Fass Butter - BUTTER
2290|Vollkornspaghetti|Bernbacher Vollkorn Spaghetti 500g - Bernbacher Vollkorn 500 g - Bernbacher Vollkorn Spaghetti - DEUTSCHE TEIGWAREN UEBER 250 G
2277|Cerealien Weizen|ja! White Wheaties 600g - Ja! - White Wheaties - Mischcerealien
539|Likörpralinen Kirsch|Mon Chéri Likör-Kirsch-Pralinen 315g - MON CHERI - Mon CHÉRI PIEMONT-KIRSCHE - PRALINEN MIT ALKOHOL
2400|Kapern|Feinkost Dittmann Kapern mild-würzig 125g - Feinkost Dittmann - Kapern - OLIVEN / KAPERN
22436|Schokoladenfigur Bio|Bio Schoko Bischof VM - GEPA - Bio Schoko Bischof Vollmilch - WEIHN.-FIGUREN HOHL/MASSIV
324|Säuglingsmilch Pre Bio|Hipp Pre BIO Combiotik 600g - HiPP - HiPP BIO Combiotik Pre - BABY NAEHRM./MILCH/PULVER/E-MWST
529|Baumkuchen Zartbitter|Kuchenmeister Baumkuchen Zartbitter 300g - KUCHENMEISTER - BaumKuchen Zartbitter - HALTBARE KUCHEN/TEILCHEN SB
2471|Currywurst extra scharf|Meica Curryking extra scharf - CURRYKING - Curryking, Extra Scharf - SNACKS GEKÜHLT - SB
2488|Penne Gorgonzola-Spinat (TK)|ja! Penne Gorgonzola mit feinem Blattspinat 750g - Ja! - Penne Gorgonzola mit feinem Blattspinat - TK-FERTIGGERICHTE BEUTEL
382|Elisen-Lebkuchen|Wicklein Nuss Pur Creation 275g - Wicklein - Nuss Pur Elisen-Lebkuchen - LEBKUCHEN
557|Tiefseeshrimps (TK)|Costa Tiefseeshrimps MSC 225g - Costa - Tiefseeshrimps - TK-MEERESFRUECHTE
555|Dinkel-Vollkorn-Flammkuchen|DINK. VOLLK. FLAMMKUCH - FLAMMMARIE - Flammkuchenböden aus Dinkelvollkorn - FERTIGTEIG GEKUEHLT
559|Lachsfilets|ja! Lachsfilets 250g - Ja! - Lachs - TK-NATURFISCH/MARINIERTER FISCH
4332|Gemüsetaler|Pahmeyer Gemüsetaler 240g - Pahmeyer - Gemüsetaler - KARTOFFELSPEZIALITÄT GEKÜHLT-SB
68569|Pralinen Creola|Lindt Creola 100g - LINDT - Creola mit Nibs - PRALINENMISCHUNGEN
571|Schokolade Mandel|MANDELT. TOBLERONE+50G - ALMONDY - Toblerone schokoladen torte - TK-TORTEN/KUCHEN
572|Dunkle Schokoladenmischung|Lindt Ostereier Dunkle Mischung 144g - LINDT - Dunkle Mischung - NESTER/KÖRBE/MISCHUNGEN
581|Donauwellentorte vegan (TK)|Conditorei Coppenrath & Wiese Donauwellen Torte vegan 440g - Conditorei Coppenrath & Wiese - Lust auf Vegan Donauwellen-Torte - TK-TORTEN/KUCHEN
2717|Vegetarische Filetstreifen|Garden Gourmet Vegetarische Filet-Streifen 175g - GARDEN GOURMET - Vegetarische Filetsteifen - VEGETARISCHE FEINKOST - SB
2723|Mozzarella Mini|Galbani Mozzarella Mini 150g - GALBANI - Mozzarella Mini - MOZZAREL/SONST.PASTA FILATA SB
2832|Proteinriegel Caramel Crisp|Barebells Protein Bar Caramel Cashew 55g - Barebells - Double Bar Caramel Crisp - PROTEIN RIEGEL / BALLS E-MWST
6935|Mayo light|
594|Bananenbrot Schoko|Glowkitchen Bio Bananenbrot Schoko Chunk vegan 300g - Glowkitchen - Bananenbrot Schoko Chunk - Brotlaibe Mischbrot SB
602|Veganer Burger (Trockenmischung)|Greenforce Burger easy to Mix 150g - Greenforce® - Veganer Burger - TOFU / SEITAN
2860|Kräuterbutter|Meggle Kräuter-Butter 120g - MEGGLE - Kräuter Butter - BUTTERZUBEREITUNG
422|Lebkuchen|Wicklein Meistersinger 3-fach sortiert 500g - Wicklein - Meistersinger, 3-fach sortiert - LEBKUCHEN
604|Ratatouille (Glas)|*ALT*RATATOUILLE - BIO ZENTRALE - Ratatouille - TOMATEN-U.NUDELFERTIGSAUCEN
2871|Pralinen Gin|Trumpf Edle Tropfen in Nuss Gin-Edition 100g - Trumpf - Edle Tropfen in Nuss GinGin - PRALINEN MIT ALKOHOL
2875|Schokolade Salted Almonds Bio vegan|Nucao Bio Salted Almonds 60g - nucao - Salted Almonds - SPEZIALI./KANDIERTE SCHOKO/PUF
2886|Cheddar herzhaft-würzig|Cathedral City Cheddar herzhaft-würzig 120g - Cathedral City - Cheddar - NATURKAESE SCHEIBEN - SB -
2891|Dunkle Schokolade Erdbeere-Pfeffer|Hachez Cocoa Schokolade - Hachez - Cocoa d'Arriba Erdbeere-Pfeffer - SCHOKOLADE BIS 100 G
22911|Reibekäse Pasta|Arla Finello Pastakäse 150g - Arla - Finello Pastakäse - Reibekäse
2912|Vegane Knusperfilets Hähnchen-Art|SENS.KNUSPER HAEHNCHEN - GARDEN GOURMET - Vegane Knusper-Filets Hähnchen-Art - VEGANE ARTIKEL GEKÜHLT - SB
435|Erdnussmus Salted Caramel|BIO ERDNUSS SALTED CAR - None - Salted Caramel Erdnussmuß - Erdnussbutter
3043|Currypaste Colombo|CURRY PASTE COLOMBO - FAIRTRADE ORI - Colombo Curry - Curry-/Chili-/Asia-Paste
3069|Frischkäse Feige-Thymian|Bresso Frischkäse Feige & Thymian 150g - BRESSO - Bresso Feige & Thymian - FRISCHKAESE - SB -
3088|Grünkern-Burger (Fertigmischung) Bio vegan|Bauckhof Bio Fertigmischung Grünkern Burger vegan 160g - Bauckhof - Grünkern Burger - SOJA/TOFU/SEITAN
500|Grillkäse-Mix|Gazi Grillmix Grillpfanne 400g - gazi - 4 in 1 Grillmix - Käse für warme Verwendung
646|Butter gesalzen mit Rapsöl|Kerrygold extra gesalzen mit Rapsöl 400g - KERRYGOLD - Kerrygold extra mit Meersalz - MISCH- UND SPEISEFETT
654|Marzipan-Rumkugeln|Niederegger Marzipan Rumkugeln 150g - Niederegger - Marzipan Rumkugeln - PRALINEN MIT ALKOHOL
666|Kuchen (TK)|Coppenrath & Wiese Lust auf Kuchen Feiner Apfel 580g - Conditorei Coppenrath & Wiese - Lust auf Kuchen - Feiner Apfel - TK-TORTEN/KUCHEN
670|Chili con Quinoa (TK)|Frosta Chili Con Quinoa 500g - FRoSTA - FROSTA Chili con Quinoa - TK-FERTIGGERICHTE BEUTEL
671|Spätzlepfanne (TK)|Frosta Spätzle-Pfanne 500g - FRoSTA - Frosta Spätzle Pfanne - TK-FERTIGGERICHTE BEUTEL
3143|Fruchtquark Limone cremig|Exquisa Der Cremig-Feine Limone 3,5% 470g - Exquisa - Der Cremig Feine Limone - FRUCHTQUARK
3144|Grillknödel|GRILLKNOEDEL KLAS 4X60 - MEGGLE - Grill-Knödel - KARTOFFELSPEZIALITÄT GEKÜHLT-SB
675|Zanderfilet (TK)|Fish & more Zanderfilets 225g - fish & more - Zanderfilets - TK-NATURFISCH/MARINIERTER FISCH
673|Schokoladencreme|HANU SCHOKO CREME - BONNE MAMAN - Haselnuss & Kakao Creme - NUSS-SCHOKO-CREME
6929|Joghurt Light|
517|Weichkäse Walnuss|TOMME WALNUSS - PP SCHWYZER - Tomme artisanale de la venoge mit nüssen - PRE PACK WEICHKAESE BED
4812|Fruchtaufstrich Sauerkirsche|REWE Beste Wahl Fruchtaufstrich Sauerkirsche 300g - REWE Beste Wahl - Sauerkirsch marmelade - KONFITUEREN/MARMELADEN/GELEES
